36.25.709;://www.metmuseum.org/art/collection/search/31689
36.25.710;://www.metmuseum.org/art/collection/search/31690
36.25.711a, b;://www.metmuseum.org/art/collection/search/31691
36.25.712;://www.metmuseum.org/art/collection/search/31692
36.25.713a, b;://www.metmuseum.org/art/collection/search/31693
36.25.714a–g;://www.metmuseum.org/art/collection/search/31694
36.25.718a, b;://www.metmuseum.org/art/collection/search/31698
36.25.720a, b;://www.metmuseum.org/art/collection/search/31700
36.25.725;://www.metmuseum.org/art/collection/search/31705
36.25.728;://www.metmuseum.org/art/collection/search/31708
36.25.733a–c;://www.metmuseum.org/art/collection/search/31713
36.25.734;://www.metmuseum.org/art/collection/search/31714
36.25.737;://www.metmuseum.org/art/collection/search/31717
36.25.739;://www.metmuseum.org/art/collection/search/31719
36.25.742;://www.metmuseum.org/art/collection/search/31722
36.25.743;://www.metmuseum.org/art/collection/search/31723
36.25.744;://www.metmuseum.org/art/collection/search/31724
36.25.745;://www.metmuseum.org/art/collection/search/31725
36.25.746;://www.metmuseum.org/art/collection/search/31726
36.25.747;://www.metmuseum.org/art/collection/search/31727
36.25.748;://www.metmuseum.org/art/collection/search/31728
36.25.749;://www.metmuseum.org/art/collection/search/31729
36.25.750;://www.metmuseum.org/art/collection/search/31730
36.25.751;://www.metmuseum.org/art/collection/search/31731
36.25.753;://www.metmuseum.org/art/collection/search/31733
36.25.754;://www.metmuseum.org/art/collection/search/31734
36.25.758a, b;://www.metmuseum.org/art/collection/search/31738
36.25.762a, b;://www.metmuseum.org/art/collection/search/31742
36.25.764a, b;://www.metmuseum.org/art/collection/search/31744
36.25.766;://www.metmuseum.org/art/collection/search/31746
36.25.779;://www.metmuseum.org/art/collection/search/31759
36.25.787;://www.metmuseum.org/art/collection/search/31767
36.25.788a–e;://www.metmuseum.org/art/collection/search/31768
36.25.601;://www.metmuseum.org/art/collection/search/31780
36.25.609;://www.metmuseum.org/art/collection/search/31785
36.25.618;://www.metmuseum.org/art/collection/search/31792
36.25.626;://www.metmuseum.org/art/collection/search/31799
36.25.627;://www.metmuseum.org/art/collection/search/31800
36.25.628;://www.metmuseum.org/art/collection/search/31801
36.25.629;://www.metmuseum.org/art/collection/search/31802
36.25.631;://www.metmuseum.org/art/collection/search/31804
36.25.634;://www.metmuseum.org/art/collection/search/31807
36.25.635;://www.metmuseum.org/art/collection/search/31808
36.25.641;://www.metmuseum.org/art/collection/search/31814
36.25.647;://www.metmuseum.org/art/collection/search/31820
36.25.649;://www.metmuseum.org/art/collection/search/31822
36.25.650a, b;://www.metmuseum.org/art/collection/search/31823
36.25.651;://www.metmuseum.org/art/collection/search/31824
36.25.652a, b;://www.metmuseum.org/art/collection/search/31825
36.25.653;://www.metmuseum.org/art/collection/search/31826
36.25.654a, b;://www.metmuseum.org/art/collection/search/31827
